path,description
"/personal/exit-interview/details/:id","Displays detailed responses and feedback submitted in an employee’s exit interview."
"/personal/contracts/details/:contract_id","Displays detailed information of a specific employment contract based on the contract ID."
"/personal/contracts/:job_offer_id","Allows applicants to view and digitally sign job offer contracts linked to a specific job offer ID."
"/personal/exit-interview-page/:id","Allows employees to complete an exit interview form associated with their offboarding process."
"/personal/personal-board","Displays a personalized dashboard for the user, showing tasks, notices, and relevant updates in their organization or role."
"/personal/jobs-board","Public-facing or internal page where applicants can browse available jobs and submit applications."
"/personal/ticket-tracker","Displays a board for tracking tickets, issues, or tasks related to user  activity or internal workflows."
"/personal/ticket-board","Redirects to the main ticket tracking board page, used for routing consistency."
"/personal/account-information","Page for organizational administrators to view and manage account settings and company-level configurations."
"/personal/account-information","Client-specific account settings page for managing personal and  company-related preferences."
"/personal/contracts","Main page for viewing all employment-related contracts associated with the logged-in user or administrator."
"/home/home-page","Central landing page that provides an overview of the user’s activity, announcements, and high-level organizational information."
"/home/workforce-page","Displays a list of all workspaces or teams the user is part of, allowing them to  navigate between different organizational units."